"","Module","Policy","ISO","year","Value","Policytype","Policytype_detail","diff","diff_2","introduction","diff_adj","diff_2_adj","source","Policy_name_fig_1","Policy_name_fig_2_3","Policy_name_fig_4","Market_non_market","Cluster_categories","label","High_income"
"297","Industry","MEPS electric motors","BRA",2009,3,"NMBI","Performance Standards",3,3,1,1,1,"OECD","Performance standard (electric motors)","Performance standard","Performance standard","Non-market","Regulation","jump",0
"298","Industry","MEPS electric motors","JPN",2009,10,"NMBI","Performance Standards",10,10,1,1,1,"OECD","Performance standard (electric motors)","Performance standard","Performance standard","Non-market","Regulation","jump",1
"299","Transport","Financial support","CAN",2009,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Adoption subsidy","Adoption subsidy","Adoption subsidy","Market","Subsidy","jump",1
"300","Transport","Financial support","DEU",2009,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Adoption subsidy","Adoption subsidy","Adoption subsidy","Market","Subsidy","jump",1
"301","Transport","Financial support","JPN",2009,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Adoption subsidy","Adoption subsidy","Adoption subsidy","Market","Subsidy","jump",1
"302","Transport","Financial support","NOR",2009,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Adoption subsidy","Adoption subsidy","Adoption subsidy","Market","Subsidy","jump",1
"303","Transport","Financial support","ITA",2009,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Adoption subsidy","Adoption subsidy","Adoption subsidy","Market","Subsidy","jump",1
"304","Transport","Financial support","USA",2009,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Adoption subsidy","Adoption subsidy","Adoption subsidy","Market","Subsidy","jump",1
"305","Transport","Investment in Rail Infrastructure","ITA",2009,9,"NMBI","Other NMBI",2,2,0,1,1,"OECD","Public expenditure for rail","Public expenditure for rail","Public expenditure for rail","Non-market","Subsidy","jump",1
"306","Transport","Investment in Rail Infrastructure","BGR",2009,5,"NMBI","Other NMBI",1,2,0,0,1,"OECD","Public expenditure for rail","Public expenditure for rail","Public expenditure for rail","Non-market","Subsidy","slow_increase",1
"307","Transport","Labels Passenger Cars","BGR",2009,10,"NMBI","Information",10,10,1,1,1,"OECD","Label (cars)","Label ","Label ","Non-market","Information","jump",1
"308","Transport","Labels Passenger Cars","CHN",2009,10,"NMBI","Information",10,10,1,1,1,"OECD","Label (cars)","Label ","Label ","Non-market","Information","jump",0
"309","Transport","Labels Passenger Cars","ROU",2009,10,"NMBI","Information",10,10,1,1,1,"OECD","Label (cars)","Label ","Label ","Non-market","Information","jump",1
"310","Transport","MEPS Transport","NOR",2009,5,"NMBI","Performance Standards",5,5,1,1,1,"OECD","Performance standard (cars & trucks)","Performance standard","Performance standard","Non-market","Regulation","jump",1
"311","Transport","Taxation","DEU",2009,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Vehicle tax (cars)","Vehicle tax","Taxation (vehicle)","Market","Pricing","jump",1
"312","Buildings","BuildingEnergyCodes","BRA",2010,3,"NMBI","Performance Standards",3,3,1,1,1,"OECD","Building code","Building code","Building code","Non-market","Regulation","jump",0
"313","Buildings","BuildingEnergyCodes","ESP",2010,10,"NMBI","Performance Standards",10,10,1,1,1,"OECD","Building code","Building code","Building code","Non-market","Regulation","jump",1
"314","Buildings","BuildingEnergyCodes","SWE",2010,5,"NMBI","Performance Standards",5,5,1,1,1,"OECD","Building code","Building code","Building code","Non-market","Regulation","jump",1
"315","Buildings","BuildingEnergyCodes","NOR",2010,10,"NMBI","Performance Standards",10,10,1,1,1,"OECD","Building code","Building code","Building code","Non-market","Regulation","jump",1
"316","Buildings","Carbon Tax Buildings","IRL",2010,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD","Carbon tax","Carbon tax","Taxation","Market","Pricing","jump",1
"317","Buildings","Financial support","CHE",2010,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Adoption subsidy","Adoption subsidy","Adoption subsidy","Market","Subsidy","jump",1
"318","Buildings","Labels Appliances","AUS",2010,5,"NMBI","Information",2,5,0,1,0,"OECD","Label (appliances)","Label","Label","Non-market","Information","jump",1
"319","Buildings","Labels Appliances","RUS",2010,3,"NMBI","Information",3,3,1,1,1,"OECD","Label (appliances)","Label","Label","Non-market","Information","jump",0
"320","Electricity","AirEmissionStandards","ZAF",2010,2,"NMBI","Performance Standards",2,2,1,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",0
"321","Electricity","AirEmissionStandards","TUR",2010,5,"NMBI","Performance Standards",4,4,0,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",0
"322","Electricity","Auction","IND",2010,3,"MBI","Subsidy",3,3,1,1,1,"OECD","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","jump",0
"323","Electricity","ETS Electricity","NZL",2010,8,"MBI","Carbon Pricing",8,8,1,1,1,"OECD","Emission trading scheme","Emission trading scheme","Taxation","Market","Pricing","jump",1
"324","Electricity","Feed-In-Tariffs","GBR",2010,6,"MBI","Subsidy",6,6,1,1,1,"OECD","Renewable feed in tariff","Renewable feed in tariff","Renewable subsidy","Market","Subsidy","jump",1
"325","Electricity","Feed-In-Tariffs","USA",2010,5,"MBI","Subsidy",2,3,0,1,1,"OECD","Renewable feed in tariff","Renewable feed in tariff","Renewable subsidy","Market","Subsidy","jump",1
"326","Electricity","Feed-In-Tariffs","JPN",2010,3,"MBI","Subsidy",3,3,1,1,1,"OECD","Renewable feed in tariff","Renewable feed in tariff","Renewable subsidy","Market","Subsidy","jump",1
"327","Electricity","Feed-In-Tariffs","CAN",2010,7,"MBI","Subsidy",1,2,0,0,1,"OECD","Renewable feed in tariff","Renewable feed in tariff","Renewable subsidy","Market","Subsidy","jump",1
"328","Electricity","Feed-In-Tariffs","IDN",2010,5,"MBI","Subsidy",5,5,1,1,1,"OECD","Renewable feed in tariff","Renewable feed in tariff","Renewable subsidy","Market","Subsidy","jump",0
"329","Electricity","Renewable energy certificates","GBR",2010,8,"MBI","Subsidy",1,2,0,0,1,"OECD","Renewable portfolio standard","Renewable portfolio standard","Renewable portfolio standard","Non-market","Regulation","jump",1
"330","Electricity","Renewable energy certificates","BEL",2010,5,"MBI","Subsidy",2,2,0,1,1,"OECD","Renewable portfolio standard","Renewable portfolio standard","Renewable portfolio standard","Non-market","Regulation","jump",1
"331","Electricity","Renewable energy certificates","CHL",2010,5,"MBI","Subsidy",5,5,1,1,1,"OECD","Renewable portfolio standard","Renewable portfolio standard","Renewable portfolio standard","Non-market","Regulation","jump",0
"332","Electricity","Renewable energy certificates","ROU",2010,7,"MBI","Subsidy",7,7,1,1,1,"OECD","Renewable portfolio standard","Renewable portfolio standard","Renewable portfolio standard","Non-market","Regulation","jump",1
"333","Industry","Carbon Tax Industry","IRL",2010,9,"MBI","Carbon Pricing",9,9,1,1,1,"OECD","Carbon tax","Carbon tax","Taxation","Market","Pricing","jump",1
"334","Industry","ETS Industry","NZL",2010,8,"MBI","Carbon Pricing",8,8,1,1,1,"OECD","Emission trading scheme","Emission trading scheme","Taxation","Market","Pricing","jump",1
"335","Industry","MEPS electric motors","MEX",2010,10,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Performance standard (electric motors)","Performance standard","Performance standard","Non-market","Regulation","jump",0
"336","Transport","Carbon Tax Transport","IRL",2010,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD","Carbon tax","Carbon tax","Taxation (driving)","Market","Pricing","jump",1
"337","Transport","Congestion Charges","NOR",2010,7,"MBI","Other MBI",2,1,0,1,0,"OECD","Road toll","Road toll","Taxation (driving)","Market","Pricing","jump",1
"338","Transport","ETS Transport","NZL",2010,9,"MBI","Carbon Pricing",9,9,1,1,1,"OECD","Emission trading scheme","Emission trading scheme","Taxation (driving)","Market","Pricing","jump",1
"339","Transport","Excise Tax Transport","GRC",2010,9,"MBI","Carbon Pricing",3,0,0,1,0,"OECD","Fuel tax","Fuel tax","Taxation (driving)","Market","Pricing","jump",1
"340","Transport","Financial support","CHN",2010,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Adoption subsidy","Adoption subsidy","Adoption subsidy","Market","Subsidy","jump",0
"341","Transport","Financial support","USA",2010,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Adoption subsidy","Adoption subsidy","Adoption subsidy","Market","Subsidy","jump",1
"342","Transport","Financial support","SWE",2010,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Adoption subsidy","Adoption subsidy","Adoption subsidy","Market","Subsidy","jump",1
"343","Transport","Investment in Rail Infrastructure","SVK",2010,8,"NMBI","Other NMBI",4,3,0,1,1,"OECD","Public expenditure for rail","Public expenditure for rail","Public expenditure for rail","Non-market","Subsidy","jump",1
"344","Transport","Investment in Rail Infrastructure","GRC",2010,6,"NMBI","Other NMBI",2,3,0,1,1,"OECD","Public expenditure for rail","Public expenditure for rail","Public expenditure for rail","Non-market","Subsidy","jump",1
"345","Transport","Investment in Rail Infrastructure","HUN",2010,5,"NMBI","Other NMBI",2,1,0,1,0,"OECD","Public expenditure for rail","Public expenditure for rail","Public expenditure for rail","Non-market","Subsidy","jump",1
"346","Transport","Investment in Rail Infrastructure","NZL",2010,4,"NMBI","Other NMBI",2,0,0,1,0,"OECD","Public expenditure for rail","Public expenditure for rail","Public expenditure for rail","Non-market","Subsidy","jump",1
"347","Transport","MEPS Transport","USA",2010,10,"NMBI","Performance Standards",5,5,0,1,1,"OECD","Performance standard (cars & trucks)","Performance standard","Performance standard","Non-market","Regulation","jump",1
"348","Transport","MEPS Transport","JPN",2010,10,"NMBI","Performance Standards",5,5,0,1,1,"OECD","Performance standard (cars & trucks)","Performance standard","Performance standard","Non-market","Regulation","jump",1
"349","Transport","MEPS Transport","KOR",2010,10,"NMBI","Performance Standards",5,5,0,1,1,"OECD","Performance standard (cars & trucks)","Performance standard","Performance standard","Non-market","Regulation","jump",0
"350","Transport","Taxation","AUS",2010,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Vehicle tax (cars)","Vehicle tax","Taxation (vehicle)","Market","Pricing","jump",1
"351","Transport","Taxation","GRC",2010,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Vehicle tax (cars)","Vehicle tax","Taxation (vehicle)","Market","Pricing","jump",1
"352","Transport","Taxation","ZAF",2010,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Vehicle tax (cars)","Vehicle tax","Taxation (vehicle)","Market","Pricing","jump",0
"353","Buildings","BuildingEnergyCodes","CAN",2011,10,"NMBI","Performance Standards",10,10,1,1,1,"OECD","Building code","Building code","Building code","Non-market","Regulation","jump",1
"354","Buildings","BuildingEnergyCodes","CHE",2011,5,"NMBI","Performance Standards",5,5,1,1,1,"OECD","Building code","Building code","Building code","Non-market","Regulation","jump",1
"355","Buildings","BuildingEnergyCodes","ZAF",2011,10,"NMBI","Performance Standards",10,10,1,1,1,"OECD","Building code","Building code","Building code","Non-market","Regulation","jump",0
"356","Buildings","Carbon Tax Buildings","FIN",2011,9,"MBI","Carbon Pricing",3,3,0,1,1,"OECD","Carbon tax","Carbon tax","Taxation","Market","Pricing","jump",1
"357","Buildings","Excise Taxes Buildings","SVK",2011,4,"MBI","Carbon Pricing",2,2,0,1,1,"OECD","Fuel tax","Fuel tax","Taxation","Market","Pricing","jump",1
"358","Buildings","Financing Mechanism Buildings","PRT",2011,10,"MBI","Subsidy",2,0,0,1,0,"OECD","Financing mechanism","Financing mechanism","Financing mechanism","Market","Subsidy","jump",1
"359","Buildings","Financing Mechanism Buildings","GRC",2011,3,"MBI","Subsidy",3,0,1,1,0,"OECD","Financing mechanism","Financing mechanism","Financing mechanism","Market","Subsidy","jump",1
"360","Buildings","Financing Mechanism Buildings","ESP",2011,5,"MBI","Subsidy",5,0,1,1,0,"OECD","Financing mechanism","Financing mechanism","Financing mechanism","Market","Subsidy","jump",1
"361","Buildings","Financing Mechanism Buildings","POL",2011,5,"MBI","Subsidy",5,0,1,1,0,"OECD","Financing mechanism","Financing mechanism","Financing mechanism","Market","Subsidy","jump",1
"362","Buildings","Fossil Fuel Subsides Buildings","CHL",2011,10,"MBI","Carbon Pricing",6,0,0,1,0,"OECD","Fossil fuel subsidy reform","Fossil fuel subsidy reform","Fossil fuel subsidy reform","Market","Pricing","jump",0
"363","Buildings","Labels Appliances","CHL",2011,10,"NMBI","Information",2,2,0,1,1,"OECD","Label (appliances)","Label","Label","Non-market","Information","jump",0
"364","Buildings","Labels Appliances","IND",2011,5,"NMBI","Information",2,2,0,1,1,"OECD","Label (appliances)","Label","Label","Non-market","Information","jump",0
"365","Buildings","Labels Appliances","TUR",2011,5,"NMBI","Information",5,5,1,1,1,"OECD","Label (appliances)","Label","Label","Non-market","Information","jump",0
"366","Buildings","MEPS of appliances","ARG",2011,10,"NMBI","Performance Standards",5,5,0,1,1,"OECD","Performance standard (appliances)","Performance standard","Performance standard","Non-market","Regulation","jump",0
"367","Buildings","MEPS of appliances","TUR",2011,8,"NMBI","Performance Standards",8,8,1,1,1,"OECD","Performance standard (appliances)","Performance standard","Performance standard","Non-market","Regulation","jump",0
"368","Buildings","MEPS of appliances","PER",2011,8,"NMBI","Performance Standards",5,5,0,1,1,"OECD","Performance standard (appliances)","Performance standard","Performance standard","Non-market","Regulation","jump",0
"369","Electricity","AirEmissionStandards","FRA",2011,8,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",1
"370","Electricity","Carbon Tax Electricity","CAN",2011,3,"MBI","Carbon Pricing",1,2,0,0,1,"OECD","Carbon tax","Carbon tax","Taxation","Market","Pricing","jump",1
"371","Electricity","ETS Electricity","CHE",2011,7,"MBI","Carbon Pricing",7,7,1,1,1,"OECD","Emission trading scheme","Emission trading scheme","Taxation","Market","Pricing","jump",1
"372","Electricity","Excise Taxes Electricity","SWE",2011,7,"MBI","Carbon Pricing",2,2,0,1,1,"OECD","Fuel tax","Fuel tax","Taxation","Market","Pricing","jump",1
"373","Electricity","Feed-In-Tariffs","CHN",2011,5,"MBI","Subsidy",2,2,0,1,1,"OECD","Renewable feed in tariff","Renewable feed in tariff","Renewable subsidy","Market","Subsidy","jump",0
"374","Electricity","Feed-In-Tariffs","AUS",2011,4,"MBI","Subsidy",1,2,0,0,1,"OECD","Renewable feed in tariff","Renewable feed in tariff","Renewable subsidy","Market","Subsidy","jump",1
"375","Electricity","Feed-In-Tariffs","FIN",2011,3,"MBI","Subsidy",3,3,1,1,1,"OECD","Renewable feed in tariff","Renewable feed in tariff","Renewable subsidy","Market","Subsidy","jump",1
"376","Electricity","Fossil Fuel Subsidies Electricity","SWE",2011,8,"MBI","Carbon Pricing",3,0,0,1,0,"OECD","Fossil fuel subsidy reform","Fossil fuel subsidy reform","Fossil fuel subsidy reform","Market","Pricing","jump",1
"377","Electricity","PlanningRenewablesExpansion","ESP",2011,5,"NMBI","Other regulatory instruments",4,0,0,1,0,"OECD","Renewable expansion planning","Renewable expansion planning","Renewable planning","Non-market","Regulation","jump",1
"378","Electricity","Renewable energy certificates","ITA",2011,6,"MBI","Subsidy",1,2,0,0,1,"OECD","Renewable portfolio standard","Renewable portfolio standard","Renewable portfolio standard","Non-market","Regulation","jump",1
"379","Industry","EnergyEfficiencyMandates","AUT",2011,1,"NMBI","Other regulatory instruments",1,0,1,0,0,"OECD","Energy efficiency mandate","Energy efficiency mandate","Energy efficiency mandate","Non-market","Regulation","jump",1
"380","Industry","EnergyEfficiencyMandates","AUS",2011,4,"NMBI","Other regulatory instruments",4,0,1,1,0,"OECD","Energy efficiency mandate","Energy efficiency mandate","Energy efficiency mandate","Non-market","Regulation","jump",1
"381","Industry","EnergyEfficiencyMandates","ZAF",2011,4,"NMBI","Other regulatory instruments",2,0,0,1,0,"OECD","Energy efficiency mandate","Energy efficiency mandate","Energy efficiency mandate","Non-market","Regulation","jump",0
"382","Industry","ETS Industry","CHE",2011,7,"MBI","Carbon Pricing",7,7,1,1,1,"OECD","Emission trading scheme","Emission trading scheme","Taxation","Market","Pricing","jump",1
"383","Industry","Excise Taxes Industry","HUN",2011,4,"MBI","Carbon Pricing",1,2,0,0,1,"OECD","Fuel tax","Fuel tax","Taxation","Market","Pricing","jump",1
"384","Industry","Excise Taxes Industry","GRC",2011,3,"MBI","Carbon Pricing",3,3,1,1,1,"OECD","Fuel tax","Fuel tax","Taxation","Market","Pricing","jump",1
"385","Industry","Financing Mechanism Industry","POL",2011,5,"MBI","Subsidy",5,0,1,1,0,"OECD","Financing mechanism","Financing mechanism","Financing mechanism","Market","Subsidy","jump",1
"386","Industry","Financing Mechanism Industry","ESP",2011,5,"MBI","Subsidy",5,0,1,1,0,"OECD","Financing mechanism","Financing mechanism","Financing mechanism","Market","Subsidy","jump",1
"387","Industry","Fossil Fuel Subsidies Industry","SVK",2011,9,"MBI","Carbon Pricing",5,0,0,1,0,"OECD","Fossil fuel subsidy reform","Fossil fuel subsidy reform","Fossil fuel subsidy reform","Market","Pricing","jump",1
"388","Industry","Fossil Fuel Subsidies Industry","CHL",2011,5,"MBI","Carbon Pricing",3,0,0,1,0,"OECD","Fossil fuel subsidy reform","Fossil fuel subsidy reform","Fossil fuel subsidy reform","Market","Pricing","jump",0
"389","Industry","Fossil Fuel Subsidies Industry","SWE",2011,4,"MBI","Carbon Pricing",2,0,0,1,0,"OECD","Fossil fuel subsidy reform","Fossil fuel subsidy reform","Fossil fuel subsidy reform","Market","Pricing","jump",1
"390","Industry","MEPS electric motors","CHE",2011,7,"NMBI","Performance Standards",7,7,1,1,1,"OECD","Performance standard (electric motors)","Performance standard","Performance standard","Non-market","Regulation","jump",1
"391","Industry","MEPS electric motors","NOR",2011,7,"NMBI","Performance Standards",7,7,1,1,1,"OECD","Performance standard (electric motors)","Performance standard","Performance standard","Non-market","Regulation","jump",1
"392","Industry","MEPS electric motors","USA",2011,10,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Performance standard (electric motors)","Performance standard","Performance standard","Non-market","Regulation","jump",1
"393","Industry","MEPS electric motors","TUR",2011,7,"NMBI","Performance Standards",7,7,1,1,1,"OECD","Performance standard (electric motors)","Performance standard","Performance standard","Non-market","Regulation","jump",0
"394","Transport","Congestion Charges","GBR",2011,10,"MBI","Other MBI",2,2,0,1,1,"OECD","Road toll","Road toll","Taxation (driving)","Market","Pricing","jump",1
"395","Transport","Excise Tax Transport","HUN",2011,7,"MBI","Carbon Pricing",4,4,0,1,1,"OECD","Fuel tax","Fuel tax","Taxation (driving)","Market","Pricing","jump",1
"396","Transport","Excise Tax Transport","JPN",2011,7,"MBI","Carbon Pricing",1,2,0,0,1,"OECD","Fuel tax","Fuel tax","Taxation (driving)","Market","Pricing","jump",1
"397","Transport","Excise Tax Transport","KOR",2011,8,"MBI","Carbon Pricing",1,2,0,0,1,"OECD","Fuel tax","Fuel tax","Taxation (driving)","Market","Pricing","jump",0
"398","Transport","Financial support","ESP",2011,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Adoption subsidy","Adoption subsidy","Adoption subsidy","Market","Subsidy","jump",1
"399","Transport","Financial support","TUR",2011,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Adoption subsidy","Adoption subsidy","Adoption subsidy","Market","Subsidy","jump",0
"400","Transport","Fossil Fuel Subsidies Transport","CHL",2011,3,"MBI","Carbon Pricing",2,0,0,1,0,"OECD","Fossil fuel subsidy reform","Fossil fuel subsidy reform","Fossil fuel subsidy reform","Market","Pricing","jump",0
"401","Transport","Fossil Fuel Subsidies Transport","JPN",2011,10,"MBI","Carbon Pricing",10,0,1,1,0,"OECD","Fossil fuel subsidy reform","Fossil fuel subsidy reform","Fossil fuel subsidy reform","Market","Pricing","jump",1
"402","Transport","Investment in Rail Infrastructure","HUN",2011,9,"NMBI","Other NMBI",4,6,0,1,0,"OECD","Public expenditure for rail","Public expenditure for rail","Public expenditure for rail","Non-market","Subsidy","jump",1
"403","Transport","Investment in Rail Infrastructure","KOR",2011,7,"NMBI","Other NMBI",1,2,0,0,1,"OECD","Public expenditure for rail","Public expenditure for rail","Public expenditure for rail","Non-market","Subsidy","jump",0
"404","Transport","Investment in Rail Infrastructure","AUS",2011,5,"NMBI","Other NMBI",1,2,0,0,1,"OECD","Public expenditure for rail","Public expenditure for rail","Public expenditure for rail","Non-market","Subsidy","jump",1
"405","Transport","Investment in Rail Infrastructure","DNK",2011,8,"NMBI","Other NMBI",2,2,0,1,1,"OECD","Public expenditure for rail","Public expenditure for rail","Public expenditure for rail","Non-market","Subsidy","jump",1
"406","Transport","Investment in Rail Infrastructure","FRA",2011,7,"NMBI","Other NMBI",2,2,0,1,1,"OECD","Public expenditure for rail","Public expenditure for rail","Public expenditure for rail","Non-market","Subsidy","jump",1
"407","Buildings","Bans and Phaseouts Fossil Fuels Heating","NOR",2012,2,"NMBI","Technology Standards",2,2,1,1,1,"OECD","Ban & phase out (fossil heatings)","Ban & phase out","Ban & phase out","Non-market","Regulation","jump",1
"408","Buildings","BuildingEnergyCodes","BRA",2012,5,"NMBI","Performance Standards",2,2,0,1,1,"OECD","Building code","Building code","Building code","Non-market","Regulation","jump",0
"409","Buildings","BuildingEnergyCodes","NLD",2012,10,"NMBI","Performance Standards",10,10,1,1,1,"OECD","Building code","Building code","Building code","Non-market","Regulation","jump",1
"410","Buildings","Carbon Tax Buildings","JPN",2012,3,"MBI","Carbon Pricing",3,3,1,1,1,"OECD","Carbon tax","Carbon tax","Taxation","Market","Pricing","jump",1
"411","Buildings","Financing Mechanism Buildings","BRA",2012,5,"MBI","Subsidy",2,2,0,1,1,"OECD","Financing mechanism","Financing mechanism","Financing mechanism","Market","Subsidy","jump",0
"412","Buildings","Financing Mechanism Buildings","SAU",2012,3,"MBI","Subsidy",3,3,1,1,1,"OECD","Financing mechanism","Financing mechanism","Financing mechanism","Market","Subsidy","jump",0
"413","Buildings","Financing Mechanism Buildings","NLD",2012,3,"MBI","Subsidy",3,3,1,1,1,"OECD","Financing mechanism","Financing mechanism","Financing mechanism","Market","Subsidy","jump",1
"414","Buildings","Fossil Fuel Subsides Buildings","PRT",2012,9,"MBI","Carbon Pricing",3,2,0,1,1,"OECD","Fossil fuel subsidy reform","Fossil fuel subsidy reform","Fossil fuel subsidy reform","Market","Pricing","jump",1
"415","Buildings","Fossil Fuel Subsides Buildings","MEX",2012,3,"MBI","Carbon Pricing",2,1,0,1,0,"OECD","Fossil fuel subsidy reform","Fossil fuel subsidy reform","Fossil fuel subsidy reform","Market","Pricing","jump",0
"416","Buildings","Fossil Fuel Subsides Buildings","GRC",2012,9,"MBI","Carbon Pricing",9,9,1,1,1,"OECD","Fossil fuel subsidy reform","Fossil fuel subsidy reform","Fossil fuel subsidy reform","Market","Pricing","jump",1
"417","Buildings","Labels Appliances","AUS",2012,10,"NMBI","Information",5,5,0,1,1,"OECD","Label (appliances)","Label","Label","Non-market","Information","jump",1
"418","Buildings","Labels Appliances","CHE",2012,8,"NMBI","Information",3,3,0,1,1,"OECD","Label (appliances)","Label","Label","Non-market","Information","jump",1
"419","Buildings","Labels Appliances","ZAF",2012,3,"NMBI","Information",3,3,1,1,1,"OECD","Label (appliances)","Label","Label","Non-market","Information","jump",0
"420","Buildings","MEPS of appliances","IDN",2012,5,"NMBI","Performance Standards",2,2,0,1,1,"OECD","Performance standard (appliances)","Performance standard","Performance standard","Non-market","Regulation","jump",0
"421","Buildings","MEPS of appliances","JPN",2012,10,"NMBI","Performance Standards",2,2,0,1,1,"OECD","Performance standard (appliances)","Performance standard","Performance standard","Non-market","Regulation","jump",1
"422","Electricity","AirEmissionStandards","MEX",2012,4,"NMBI","Performance Standards",2,2,0,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",0
"423","Electricity","AirEmissionStandards","USA",2012,5,"NMBI","Performance Standards",2,2,0,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",1
"424","Electricity","AirEmissionStandards","CHN",2012,8,"NMBI","Performance Standards",6,6,0,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",0
"425","Electricity","AirEmissionStandards","CHL",2012,6,"NMBI","Performance Standards",6,6,1,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",0
"426","Electricity","Carbon Tax Electricity","CAN",2012,4,"MBI","Carbon Pricing",1,2,0,0,1,"OECD","Carbon tax","Carbon tax","Taxation","Market","Pricing","slow_increase",1
"427","Electricity","Carbon Tax Electricity","JPN",2012,5,"MBI","Carbon Pricing",5,5,1,1,1,"OECD","Carbon tax","Carbon tax","Taxation","Market","Pricing","jump",1
"428","Electricity","ETS Electricity","USA",2012,6,"MBI","Carbon Pricing",2,2,0,1,1,"OECD","Emission trading scheme","Emission trading scheme","Taxation","Market","Pricing","jump",1
"429","Electricity","ETS Electricity","AUS",2012,9,"MBI","Carbon Pricing",9,9,1,1,1,"OECD","Emission trading scheme","Emission trading scheme","Taxation","Market","Pricing","jump",1
"430","Electricity","Feed-In-Tariffs","JPN",2012,8,"MBI","Subsidy",4,5,0,1,1,"OECD","Renewable feed in tariff","Renewable feed in tariff","Renewable subsidy","Market","Subsidy","jump",1
"431","Electricity","Fossil Fuel Subsidies Electricity","DNK",2012,5,"MBI","Carbon Pricing",2,2,0,1,1,"OECD","Fossil fuel subsidy reform","Fossil fuel subsidy reform","Fossil fuel subsidy reform","Market","Pricing","jump",1
"432","Electricity","Fossil Fuel Subsidies Electricity","ITA",2012,4,"MBI","Carbon Pricing",4,4,1,1,1,"OECD","Fossil fuel subsidy reform","Fossil fuel subsidy reform","Fossil fuel subsidy reform","Market","Pricing","jump",1
"433","Electricity","Fossil Fuel Subsidies Electricity","GBR",2012,8,"MBI","Carbon Pricing",8,8,1,1,1,"OECD","Fossil fuel subsidy reform","Fossil fuel subsidy reform","Fossil fuel subsidy reform","Market","Pricing","jump",1
"434","Electricity","PlanningRenewablesExpansion","KOR",2012,7,"NMBI","Other regulatory instruments",5,5,0,1,1,"OECD","Renewable expansion planning","Renewable expansion planning","Renewable planning","Non-market","Regulation","jump",0
"435","Electricity","PlanningRenewablesExpansion","IND",2012,4,"NMBI","Other regulatory instruments",4,4,1,1,1,"OECD","Renewable expansion planning","Renewable expansion planning","Renewable planning","Non-market","Regulation","jump",0
"436","Electricity","PlanningRenewablesExpansion","GBR",2012,4,"NMBI","Other regulatory instruments",2,3,0,1,1,"OECD","Renewable expansion planning","Renewable expansion planning","Renewable planning","Non-market","Regulation","jump",1
"437","Electricity","PlanningRenewablesExpansion","ROU",2012,7,"NMBI","Other regulatory instruments",2,2,0,1,1,"OECD","Renewable expansion planning","Renewable expansion planning","Renewable planning","Non-market","Regulation","jump",1
"438","Electricity","Renewable energy certificates","KOR",2012,3,"MBI","Subsidy",3,3,1,1,1,"OECD","Renewable portfolio standard","Renewable portfolio standard","Renewable portfolio standard","Non-market","Regulation","jump",0
"439","Electricity","Renewable energy certificates","NOR",2012,4,"MBI","Subsidy",4,4,1,1,1,"OECD","Renewable portfolio standard","Renewable portfolio standard","Renewable portfolio standard","Non-market","Regulation","jump",1
"440","Electricity","Renewable energy certificates","AUS",2012,7,"MBI","Subsidy",2,2,0,1,1,"OECD","Renewable portfolio standard","Renewable portfolio standard","Renewable portfolio standard","Non-market","Regulation","jump",1
"441","Electricity","Renewable expansion","COL",2012,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Renewable expansion planning","Renewable expansion planning","Renewable planning","Non-market","Regulation","jump",0
"442","Industry","Carbon Tax Industry","JPN",2012,4,"MBI","Carbon Pricing",4,4,1,1,1,"OECD","Carbon tax","Carbon tax","Taxation","Market","Pricing","jump",1
